,price,area,bedrooms
344,3850000,3850,2
345,3850000,2015,3
346,3850000,2176,2
347,3836000,3350,3
348,3815000,3150,2
349,3780000,4820,3
350,3780000,3420,2
351,3780000,3600,2
352,3780000,5830,2
353,3780000,2856,3
354,3780000,8400,2
355,3773000,8250,3
356,3773000,2520,5
357,3773000,6930,4
358,3745000,3480,2
359,3710000,3600,3
360,3710000,4040,2
361,3710000,6020,3
362,3710000,4050,2
363,3710000,3584,2
364,3703000,3120,3
365,3703000,5450,2
366,3675000,3630,2
368,3675000,5640,2
369,3675000,3600,2
370,3640000,4280,2
371,3640000,3570,3
372,3640000,3180,3
373,3640000,3000,2
374,3640000,3520,2
375,3640000,5960,3
376,3640000,4130,3
377,3640000,2850,3
378,3640000,2275,3
379,3633000,3520,3
380,3605000,4500,2
381,3605000,4000,2
382,3570000,3150,3
383,3570000,4500,4
384,3570000,4500,2
385,3570000,3640,2
386,3535000,3850,3
387,3500000,4240,3
388,3500000,3650,3
389,3500000,4600,4
390,3500000,2135,3
391,3500000,3036,3
392,3500000,3990,3
393,3500000,7424,3
394,3500000,3480,3
395,3500000,3600,6
396,3500000,3640,2
397,3500000,5900,2
398,3500000,3120,3
399,3500000,7350,2
400,3500000,3512,2
401,3500000,9500,3
402,3500000,5880,2
403,3500000,12944,3
404,3493000,4900,3
405,3465000,3060,3
406,3465000,5320,2
407,3465000,2145,3
408,3430000,4000,2
409,3430000,3185,2
410,3430000,3850,3
411,3430000,2145,3
412,3430000,2610,3
413,3430000,1950,3
414,3423000,4040,2
415,3395000,4785,3
416,3395000,3450,3
417,3395000,3640,2
418,3360000,3500,4
419,3360000,4960,4
420,3360000,4120,2
421,3360000,4750,2
422,3360000,3720,2
423,3360000,3750,3
424,3360000,3100,3
425,3360000,3185,2
426,3353000,2700,3
427,3332000,2145,3
428,3325000,4040,2
429,3325000,4775,4
430,3290000,2500,2
431,3290000,3180,4
432,3290000,6060,3
433,3290000,3480,4
434,3290000,3792,4
435,3290000,4040,2
436,3290000,2145,3
437,3290000,5880,3
438,3255000,4500,2
439,3255000,3930,2
440,3234000,3640,4
441,3220000,4370,3
442,3220000,2684,2
443,3220000,4320,3
444,3220000,3120,3
445,3150000,3450,1
446,3150000,3986,2
447,3150000,3500,2
448,3150000,4095,2
449,3150000,1650,3
450,3150000,3450,3
451,3150000,6750,2
452,3150000,9000,3
453,3150000,3069,2
454,3143000,4500,3
455,3129000,5495,3
456,3118850,2398,3
457,3115000,3000,3
458,3115000,3850,3
459,3115000,3500,2
460,3087000,8100,2
461,3080000,4960,2
462,3080000,2160,3
463,3080000,3090,2
464,3080000,4500,2
465,3045000,3800,2
466,3010000,3090,3
467,3010000,3240,3
468,3010000,2835,2
469,3010000,4600,2
470,3010000,5076,3
471,3010000,3750,3
472,3010000,3630,4
473,3003000,8050,2
474,2975000,4352,4
475,2961000,3000,2
476,2940000,5850,3
477,2940000,4960,2
478,2940000,3600,3
479,2940000,3660,4
480,2940000,3480,3
481,2940000,2700,2
482,2940000,3150,3
483,2940000,6615,3
484,2870000,3040,2
485,2870000,3630,2
486,2870000,6000,2
487,2870000,5400,4
488,2852500,5200,4
489,2835000,3300,3
490,2835000,4350,3
491,2835000,2640,2
492,2800000,2650,3
493,2800000,3960,3
494,2730000,6800,2
495,2730000,4000,3
496,2695000,4000,2
497,2660000,3934,2
498,2660000,2000,2
499,2660000,3630,3
500,2660000,2800,3
501,2660000,2430,3
502,2660000,3480,2
503,2660000,4000,3
504,2653000,3185,2
505,2653000,4000,3
506,2604000,2910,2
507,2590000,3600,2
508,2590000,4400,2
510,2520000,2880,3
511,2520000,3180,3
512,2520000,3000,2
513,2485000,4400,3
514,2485000,3000,3
515,2450000,3210,3
516,2450000,3240,2
517,2450000,3000,2
518,2450000,3500,2
519,2450000,4840,2
520,2450000,7700,2
521,2408000,3635,2
522,2380000,2475,3
523,2380000,2787,4
524,2380000,3264,2
525,2345000,3640,2
526,2310000,3180,2
527,2275000,1836,2
528,2275000,3970,1
529,2275000,3970,3
530,2240000,1950,3
531,2233000,5300,3
532,2135000,3000,2
533,2100000,2400,3
534,2100000,3000,4
535,2100000,3360,2
536,1960000,3420,5
537,1890000,1700,3
538,1890000,3649,2
539,1855000,2990,2
540,1820000,3000,2
541,1767150,2400,3
542,1750000,3620,2
543,1750000,2910,3
544,1750000,3850,3
